id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,tmdb_popularity,on_amazon,on_apple,on_disney,on_hbo,on_netflix,on_paramount
tm1,Star Wars,MOVIE,1977,PG,125,"['scifi', 'action', 'fantasy']",['US'],8.6,77.321,,,1.0,,,
tm10,The Matrix,MOVIE,1999,R,136,"['action', 'scifi']",['US'],8.7,76.46,,,,1.0,,
tm10000,Jury Duty,MOVIE,1995,PG-13,88,"['comedy', 'drama']",['US'],4.2,8.846,,,,1.0,,
tm100001,The Lucky Texan,MOVIE,1934,,61,"['western', 'action', 'romance']",['US'],5.6,4.079,1.0,,,,,1.0
tm1000022,Boonie Bears: The Wild Life,MOVIE,2021,,99,"['scifi', 'animation']",['CN'],5.4,6.135,1.0,,,,,
tm1000037,Je suis Karl,MOVIE,2021,R,126,"['drama', 'thriller', 'european', 'romance']","['CZ', 'DE']",5.4,12.981,,,,,1.0,
tm100005,Airplane!,MOVIE,1980,PG,88,['comedy'],['US'],7.7,24.807,,,,1.0,,
tm100013,The Search for Santa Paws,MOVIE,2010,G,89,"['family', 'action']",['CA'],,8.059,,,1.0,,,
tm1000147,Zone 414,MOVIE,2021,R,98,"['scifi', 'thriller']",['GB'],4.9,121.562,,,,,1.0,
tm100015,Takers,MOVIE,2010,PG-13,107,"['action', 'crime', 'drama', 'thriller']",['US'],6.2,15.872,,,,,1.0,
tm1000166,Wave of Cinema: Surat Dari Timur,MOVIE,2020,,57,['music'],['ID'],,0.66,,,,,1.0,
tm1000169,Bad Cupid,MOVIE,2021,,81,"['romance', 'comedy']",[],4.4,3.295,1.0,,,,,
tm1000185,Squared Love,MOVIE,2021,,102,"['comedy', 'romance']",['PL'],5.1,14.92,,,,,1.0,
tm1000186,Carol's Christmas,MOVIE,2021,,70,"['drama', 'thriller']",[],2.0,0.6,1.0,,,,,
tm1000203,Digging to Death,MOVIE,2021,,96,"['horror', 'thriller']",['US'],4.5,3.543,1.0,,,,,
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",6.2,2.582,,,,,1.0,
tm1000290,Secrets in the Water,MOVIE,2020,,77,['thriller'],['US'],,5.825,1.0,,,,,
tm1000296,New Gods: Nezha Reborn,MOVIE,2021,,116,"['animation', 'action', 'fantasy']",['CN'],6.8,3.078,,,,,1.0,
tm100035,Captain Kidd's Kids,MOVIE,1919,,20,"['comedy', 'fantasy']",['US'],,2.174,,,,1.0,,
tm1000378,Jathi Ratnalu,MOVIE,2021,,148,"['drama', 'comedy']",['IN'],7.5,2.862,1.0,,,,,
tm100040,The Lost Jungle,MOVIE,1934,,68,"['scifi', 'thriller', 'family', 'romance', 'action', 'drama']",['US'],4.2,0.649,,,,,,1.0
tm1000406,Dark Corners,MOVIE,2021,R,90,['thriller'],"['GB', 'NO']",4.0,2.999,1.0,,,,,
tm100049,Bumping Into Broadway,MOVIE,1919,,25,['comedy'],['US'],,3.486,,,,1.0,,
tm1000551,Namaste Wahala,MOVIE,2020,,106,"['comedy', 'drama', 'romance']",['NG'],5.1,2.696,,,,,1.0,
tm100058,The Man Who Knew Too Much,MOVIE,1935,,75,"['thriller', 'drama', 'crime']",['GB'],6.7,10.637,,,,1.0,,
tm1000599,The Last Forest,MOVIE,2021,,74,"['drama', 'documentation']",['BR'],7.3,2.176,,,,,1.0,
tm1000619,Radhe Shyam,MOVIE,2022,,138,"['drama', 'romance']",['IN'],5.3,5.537,,,,,1.0,
tm1000619,Radhe Shyam,MOVIE,2022,,138,"['romance', 'drama']",['IN'],6.9,9.77,1.0,,,,,
tm100065,Blind Husbands,MOVIE,1919,,89,"['drama', 'romance']",['US'],6.9,1.585,1.0,,,,,1.0
tm1000681,Language Lessons,MOVIE,2021,,91,"['drama', 'comedy']",['US'],7.1,2.527,,,,1.0,,
tm100070,Lost in the Stratosphere,MOVIE,1934,,64,"['comedy', 'drama', 'romance', 'action']",['US'],4.5,1.756,1.0,,,,,
tm1000711,The Lost City,MOVIE,2022,PG-13,112,"['action', 'comedy', 'romance']",['US'],6.5,707.594,,,,,,1.0
tm1000797,Ride or Die,MOVIE,2021,R,142,"['thriller', 'romance', 'drama']",['JP'],5.6,79.299,,,,,1.0,
tm100098,Homeless: The Motel Kids of Orange County,MOVIE,2010,,60,['documentation'],['US'],6.4,1.869,,,,1.0,,
tm100106,My Amnesia Girl,MOVIE,2010,,110,"['comedy', 'romance']",['PH'],6.7,2.228,,,,,1.0,
tm1001095,Roohi,MOVIE,2021,,134,"['comedy', 'horror']",['IN'],4.3,3.119,,,,,1.0,
tm1001097,Beauty,MOVIE,2022,R,95,"['drama', 'music', 'romance']",['US'],3.9,87.939,,,,,1.0,
tm1001108,Biggie: I Got a Story to Tell,MOVIE,2021,R,97,"['documentation', 'music']",['US'],6.8,8.292,,,,,1.0,
tm1001267,Secret Magic Control Agency,MOVIE,2021,,103,"['comedy', 'family', 'fantasy', 'animation']","['RU', 'US']",6.2,47.669,,,,,1.0,
tm1001366,Hawks Ridge,MOVIE,2020,,95,['drama'],['US'],5.1,0.6,1.0,,,,,
tm1001483,Covid Diaries NYC,MOVIE,2021,,40,['documentation'],['US'],4.0,2.003,,,,1.0,,
tm1001486,Enhanced,MOVIE,2019,,95,"['scifi', 'action']",['CA'],4.7,6.588,1.0,,,,,
tm100157,My Normal,MOVIE,2010,,77,"['romance', 'drama']",['US'],4.1,4.078,1.0,,,,,
tm100158,Investigation of a Citizen Above Suspicion,MOVIE,1970,R,111,"['drama', 'thriller', 'european', 'crime']",['IT'],8.0,8.996,1.0,,,,,
tm1001619,Man in Love,MOVIE,2021,,115,"['romance', 'drama']",['TW'],6.9,3.611,,,,,1.0,
tm1001637,Bunty Aur Babli 2,MOVIE,2021,R,138,"['crime', 'drama', 'romance', 'comedy']",['IN'],4.0,3.277,1.0,,,,,
tm1001679,Sir Alex Ferguson: Never Give In,MOVIE,2021,PG-13,108,['documentation'],"['US', 'GB']",8.2,8.347,,,,,,1.0
tm1001848,Creature from Big Muddy: An Illinois Bigfoot Legend,MOVIE,2021,,63,['documentation'],[],5.7,0.6,1.0,,,,,
tm1001876,The New Air Force One: Flying Fortress,MOVIE,2021,G,44,['documentation'],['US'],5.2,2.978,,,1.0,,,
tm1002150,Doors,MOVIE,2021,,84,['scifi'],['US'],3.5,9.118,1.0,,,,,
tm1002171,Give,MOVIE,2020,,77,['drama'],[],,,1.0,,,,,
tm1002374,Kapatadhaari,MOVIE,2021,,146,"['thriller', 'crime', 'drama']",['IN'],6.3,1.866,1.0,,,,,
tm1002408,Biking Borders - eine etwas andere Reise,MOVIE,2021,,89,['documentation'],['DE'],7.7,1.129,,,,,1.0,
tm10026,The Devil's Party,MOVIE,1938,,65,"['crime', 'drama']",['US'],5.7,1.22,1.0,,,,,1.0
tm1002614,Built for Mars: The Perseverance Rover,MOVIE,2021,PG-13,88,['documentation'],['US'],6.9,2.969,,,1.0,,,
tm100266,Hanna's Gold,MOVIE,2010,G,90,['family'],['US'],4.8,0.788,1.0,,,,,
tm100267,Alice in Wonderland,MOVIE,2010,PG,109,"['fantasy', 'family']",['US'],6.4,83.34,,,1.0,,,
tm1002815,Nightbooks,MOVIE,2021,,103,"['family', 'fantasy', 'horror']","['CA', 'US']",5.7,80.549,,,,,1.0,
tm1002869,Fate: The Winx Saga - The Afterparty,MOVIE,2021,PG-13,50,"['fantasy', 'reality', 'comedy']","['GB', 'IT']",6.2,6.557,,,,,1.0,
tm1003034,The Witcher: Nightmare of the Wolf,MOVIE,2021,,83,"['action', 'drama', 'fantasy', 'scifi', 'animation']","['US', 'PL', 'KR']",7.2,16.901,,,,,1.0,
tm1003143,Surviving America,MOVIE,2020,,96,['documentation'],['US'],3.3,3.687,1.0,,,,,
tm1003241,Brian Aylward: Big in Asia,MOVIE,2020,,45,['comedy'],['CA'],,,1.0,,,,,
tm1003261,Nate Bargatze: The Greatest Average American,MOVIE,2021,,60,['comedy'],['US'],7.3,1.881,,,,,1.0,
tm100333,Broken Blossoms,MOVIE,1919,PG-13,89,"['romance', 'drama']",['US'],7.3,6.012,1.0,,,,,1.0
tm100334,The Hitch-Hiker,MOVIE,1953,,71,"['thriller', 'crime', 'drama']",['US'],6.9,6.337,1.0,,,,,
tm1003353,Operation Varsity Blues: The College Admissions Scandal,MOVIE,2021,R,100,"['drama', 'documentation', 'crime']",['US'],6.9,8.255,,,,,1.0,
tm1003376,Get the Goat,MOVIE,2021,,105,"['comedy', 'action', 'crime']",['BR'],6.0,16.027,,,,,1.0,
tm100338,Beyond Bengal,MOVIE,1934,,62,"['action', 'thriller']",['US'],5.2,0.6,1.0,,,,,
tm1003483,Sharper,MOVIE,2023,R,116,"['crime', 'drama', 'thriller']",['US'],6.6,161.468,,1.0,,,,
tm1003630,After We Fell,MOVIE,2021,R,99,"['romance', 'drama']","['FR', 'US']",4.6,341.558,,,,,1.0,
tm1003687,Oh Ship! It's a Family Trip,MOVIE,2020,,75,"['comedy', 'romance']",[],5.7,,1.0,,,,,
tm100369,Classic Albums: Black Sabbath - Paranoid,MOVIE,2010,G,55,"['documentation', 'music']",['GB'],,3.168,1.0,,,,,
tm1003725,A Castle for Christmas,MOVIE,2021,,98,"['romance', 'comedy', 'drama', 'family']","['GB', 'US']",5.5,15.972,,,,,1.0,
tm1004011,Time to Dance,MOVIE,2021,,2,"['romance', 'drama']",['IN'],2.2,1.043,,,,,1.0,
tm100402,Hondo,MOVIE,1953,PG,83,"['western', 'drama', 'romance', 'war']",['US'],7.0,9.367,1.0,,,,,1.0
tm1004072,Chehre,MOVIE,2021,,139,"['thriller', 'drama']",['IN'],7.0,3.427,1.0,,,,,
tm1004219,Who's the Boss,MOVIE,2020,,105,"['comedy', 'romance']",[],5.7,2.236,,,,,1.0,
tm1004275,Black as Night,MOVIE,2021,,87,"['thriller', 'drama', 'horror']",['US'],4.2,42.571,1.0,,,,,
tm100441,Airline Disaster,MOVIE,2010,R,89,['thriller'],['US'],,5.195,1.0,,,,,
tm1004749,Butch Bradley: From Las Vegas,MOVIE,2021,R,45,['comedy'],[],8.0,,1.0,,,,,
tm1005077,Strain,MOVIE,2020,,106,['drama'],[],5.6,,,,,,1.0,
tm1005109,Kingdom: Ashin of the North,MOVIE,2021,,92,"['fantasy', 'horror', 'thriller', 'action', 'drama']",['KR'],7.2,62.804,,,,,1.0,
tm1005150,The Last Cruise,MOVIE,2021,,40,['documentation'],['US'],,3.728,,,,1.0,,
tm1005301,Je te veux moi non plus,MOVIE,2021,,100,"['romance', 'comedy']",['FR'],3.8,37.919,1.0,,,,,
tm1005420,The Karma Effect,MOVIE,2020,,66,['drama'],[],4.4,,1.0,,,,,
tm1005578,Good Old Friends,MOVIE,2020,,87,"['comedy', 'drama']",[],7.4,0.752,1.0,,,,,
tm100567,The Big Bad Wolf,MOVIE,1934,,9,['animation'],['US'],,9.139,,,1.0,,,
tm1005937,Sanitation Day,MOVIE,2020,,104,"['thriller', 'crime']",['NG'],3.3,0.994,,,,,1.0,
tm1006127,Arlo the Alligator Boy,MOVIE,2021,,90,"['animation', 'comedy', 'family']",['US'],6.4,17.89,,,,,1.0,
tm1006162,Madagascar: Africa's Galapagos,MOVIE,2019,,50,['documentation'],['ZA'],7.7,0.608,,,,,,1.0
tm1006276,Joyful Praise,MOVIE,2020,,51,['drama'],[],7.1,,1.0,,,,,
tm1006476,Saani Kaayidham,MOVIE,2022,,138,"['drama', 'action', 'crime']",['IN'],7.8,17.299,1.0,,,,,
